node,origami_data,decoded_stream,induced_errors,related_parity_bits,common_parity_bits,related_checksum_bits,success,decoding_time
0,00000100011011110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;29,11;12;15;21;48;51;63;64,,34;35,1,0.034
0,00000100011011110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;30,11;12;15;21;41;51;61;62;63;66,,34,1,0.035
0,00000100011011110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;31,11;12;15;51;63,,34,1,0.035
0,00000100011011110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;32,11;12;13;15;38;51;63;65;67,,34,1,0.035
0,00000100011011110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;34,11;12;15;31;51;61;62;63;64;66,,34,1,0.036
0,00000100011011110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;36,11;12;14;15;21;51;61;63,,34;35,1,0.034
0,00000100011011110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;41,11;12;15;51;63,,34,1,0.034
0,00000100011011110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;42,11;12;15;17;48;51;61;63,,34;44,1,0.034
0,00000100011011110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;43,11;12;15;18;51;58;63;65;67,,34;44,1,0.034
0,00000100011011110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;48,11;12;15;51;63,,34,1,0.034
0,00000100011011110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;52,11;12;15;28;48;51;63;65;68,,34;44,1,0.034
0,00000100011011110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;55,11;12;15;18;41;51;63;66;67,,34;45,1,0.034
0,00000100011011110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;60,11;12;13;15;17;28;31;51;63;68,,34;44,1,0.033
0,00000100011011110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;61,11;12;15;51;63,,34,1,0.034
0,00000100011011110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;62,11;12;15;51;63,,34,1,0.033
0,00000100011011110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;63,11;12;15;51;63,,34,1,0.034
0,00000100011011110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;67,11;12;15;51;63,,34,1,0.035
0,00000100011011110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;73,11;12;15;17;21;48;51;63;64;68,,34;44,1,0.034
0,00000100011011110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;74,11;12;15;21;48;51;63;65;66,,34;44,1,0.035
0,00000100011011110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11;76,11;12;15;28;41;51;61;63;65,,34;45,1,0.035
0,00000100011100110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;12;13,11;12;15;51;63,,34,1,0.033
0,00000100011101010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;12;14,11;12;15;51;63,,34,1,0.034
0,00000100011101100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;12;15,11;12;15;51;63,,34,1,0.034
0,00000100011101110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;12;19,11;12;15;48;51;62;63;66,,34;35,1,0.032
0,00000100011101110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;12;20,11;12;15;18;28;41;51;63;65;66,,34,1,0.034
