orig_idx,k,flipped_indices,status,incorrect_count,correct_count,total_error_fixed
0,2,32;60,-1,0,0,2
0,2,32;61,-1,0,0,2
0,2,32;63,-1,0,0,2
0,2,32;68,-1,0,0,2
0,2,32;73,-1,0,0,2
0,2,32;74,-1,0,0,2
0,2,32;76,-1,0,0,2
0,2,34;36,-1,0,0,2
0,2,34;41,-1,0,0,2
0,2,34;42,-1,0,0,2
0,2,34;43,-1,0,0,2
0,2,34;48,-1,0,0,2
0,2,34;51,-1,0,0,2
0,2,34;52,-1,0,0,2
0,2,34;55,-1,0,0,2
0,2,34;60,-1,0,0,2
0,2,34;61,-1,0,0,2
0,2,34;63,-1,0,0,2
0,2,34;68,-1,0,0,2
0,2,34;73,-1,0,0,2
0,2,34;74,-1,0,0,2
0,2,34;76,-1,0,0,2
0,2,36;41,-1,0,0,2
0,2,36;42,-1,0,0,2
0,2,36;43,-1,0,0,2
0,2,36;48,-1,0,0,2
0,2,36;51,-1,0,0,2
0,2,36;52,-1,0,0,2
0,2,36;55,-1,0,0,2
0,2,36;60,-1,0,0,2
0,2,36;61,-1,0,0,2
0,2,36;63,-1,0,0,2
0,2,36;68,-1,0,0,2
0,2,36;73,-1,0,0,2
0,2,36;74,-1,0,0,2
0,2,36;76,-1,0,0,2
0,2,41;42,-1,0,0,2
0,2,41;43,-1,0,0,2
0,2,41;48,-1,0,0,2
0,2,41;51,-1,0,0,2
0,2,41;52,-1,0,0,2
0,2,41;55,-1,0,0,2
0,2,41;60,-1,0,0,2
0,2,41;61,-1,0,0,2
0,2,41;63,-1,0,0,2
0,2,41;68,-1,0,0,2
0,2,41;73,-1,0,0,2
0,2,41;74,-1,0,0,2
0,2,41;76,-1,0,0,2
0,2,42;43,-1,0,0,2
0,2,42;48,-1,0,0,2
0,2,42;51,-1,0,0,2
0,2,42;52,-1,0,0,2
0,2,42;55,-1,0,0,2
0,2,42;60,-1,0,0,2
0,2,42;61,-1,0,0,2
0,2,42;63,-1,0,0,2
0,2,42;68,-1,0,0,2
0,2,42;73,-1,0,0,2
0,2,42;74,-1,0,0,2
0,2,42;76,-1,0,0,2
0,2,43;48,-1,0,0,2
0,2,43;51,-1,0,0,2
0,2,43;52,-1,0,0,2
0,2,43;55,-1,0,0,2
0,2,43;60,-1,0,0,2
0,2,43;61,-1,0,0,2
0,2,43;63,-1,0,0,2
0,2,43;68,-1,0,0,2
